# 西安高铁网络数据（完整版）
# 格式:
#   站点: S <id> <站名> <电报码>
#   线路: E <起点id> <终点id>
#
# 共有 3173 个站点，17968 条连接

S 832 芙蓉南 XXX
S 833 稷山 XXX
S 834 蒙渡 XXX
S 835 香格里拉 XXX
S 836 高滩 XXX
S 837 安庆西 XXX
S 838 繁峙 XXX
S 839 大足南 XXX
S 840 横峰 XXX
S 841 惠山 XXX
S 842 胶州 XXX
S 843 曲子 XXX
S 844 钱家店 XXX
S 845 孟家岗 XXX
S 846 板塘 XXX
S 847 中宁南 XXX
S 848 李家坪 XXX
S 849 山海关 XXX
S 850 东城南 XXX
S 851 汾阳 XXX
S 852 河唇 XXX
S 853 庄河北 XXX
S 854 咸阳 XXX
S 855 同江 XXX
S 856 大营 XXX
S 857 两家 XXX
S 858 湘潭北 XXX
S 859 歙县北 XXX
S 860 统景 XXX
S 861 下马塘 XXX
S 862 乐平市 XXX
S 863 锦州南 XXX
S 864 长葛 XXX
S 865 杨漩 XXX
S 866 乐都 XXX
S 867 涟源 XXX
S 868 高炉子 XXX
S 869 福泉 XXX
S 870 韶山南 XXX
S 871 大方南 XXX
S 872 兴文 XXX
S 873 绥阳 XXX
S 874 射阳 XXX
S 875 无锡 XXX
S 876 枣庄东 XXX
S 877 南朗 XXX
S 878 苏州 XXX
S 879 开福寺 XXX
S 880 河源北 XXX
S 881 钟山西 XXX
S 882 厚街 XXX
S 883 温江 XXX
S 884 梁底下 XXX
S 885 徘徊北 XXX
S 886 千岛湖 XXX
S 887 沈家 XXX
S 888 洮南 XXX
S 889 石门村 XXX
S 890 苇河 XXX
S 891 山丹 XXX
S 892 信阳东 XXX
S 893 兰岗 XXX
S 894 福州南 XXX
S 895 河津 XXX
S 896 三河县 XXX
S 897 西来 XXX
S 898 沟帮子 XXX
S 899 邹平 XXX
S 900 新松浦 XXX
S 901 岚山西 XXX
S 902 贵港 XXX
S 903 新都东 XXX
S 904 沙沱 XXX
S 905 云梦 XXX
S 906 芦庙 XXX
S 907 锡林浩特 XXX
S 908 长乐东 XXX
S 909 良各庄 XXX
S 910 峨眉 XXX
S 911 司家岭 XXX
S 912 步行街 XXX
S 913 暮云 XXX
S 914 漳平西 XXX
S 915 宾州 XXX
S 916 哈尔滨西 XXX
S 917 济源 XXX
S 918 保定东 XXX
S 919 克山 XXX
S 920 松滋 XXX
S 921 通海 XXX
S 922 观沙岭 XXX
S 923 小新街 XXX
S 924 水花 XXX
S 925 瓦石峡 XXX
S 926 赤峰南 XXX
S 927 燕郊 XXX
S 928 松坝 XXX
S 929 来凤 XXX
S 930 渭南北 XXX
S 931 霍州东 XXX
S 932 长河碥 XXX
S 933 曲家店 XXX
S 934 呼鲁斯太 XXX
S 935 周口东 XXX
S 936 南芬北 XXX
S 937 林西 XXX
S 938 王场 XXX
S 939 安图西 XXX
S 940 内乡 XXX
S 941 徐水 XXX
S 942 富锦 XXX
S 943 洛川东 XXX
S 944 朱砂古镇 XXX
S 945 颍上 XXX
S 946 姚渡 XXX
S 947 重庆北 XXX
S 948 靖远 XXX
S 949 六盘水东 XXX
S 950 乌海北 XXX
S 951 乐武 XXX
S 952 容桂 XXX
S 953 柳园 XXX
S 954 沙园 XXX
S 955 楚雄 XXX
S 956 郏县 XXX
S 957 三星堆 XXX
S 958 昭山 XXX
S 959 潍坊 XXX
S 960 天台山 XXX
S 961 碾子山 XXX
S 962 龙南 XXX
S 963 三原 XXX
S 964 中山北 XXX
S 965 桥湾 XXX
S 966 海阳北 XXX
S 967 上虞南 XXX
S 968 潜江 XXX
S 969 进贤南 XXX
S 970 长临河 XXX
S 971 鹰手营子 XXX
S 972 梁平南 XXX
S 973 桦林 XXX
S 974 端州 XXX
S 975 塔尔气 XXX
S 976 大通西 XXX
S 977 库车 XXX
S 978 平庄 XXX
S 979 纸坊东 XXX
S 980 当阳 XXX
S 981 湛江西 XXX
S 982 醴陵 XXX
S 983 平阳 XXX
S 984 内江 XXX
S 985 滑浚 XXX
S 986 张家界西 XXX
